Country;Lat;Long;Population
Afghanistan;33.93911;67.709953;38928341
Albania;41.1533;20.1683;2877800
Antarctica;-71.9499;23.347;
Algeria;28.0339;1.6596;43851043
Andorra;42.5063;1.5218;77265
Angola;-11.2027;17.8739;32866268
Antigua and Barbuda;17.0608;-61.7964;97928
Argentina;-38.4161;-63.6167;45195777
Armenia;40.0691;45.0382;2963234
Austria;47.5162;14.5501;9006400
Azerbaijan;40.1431;47.5769;10139175
Bahamas;25.025885;-78.035889;393248
Bahrain;26.0275;50.55;1701583
Bangladesh;23.685;90.3563;164689383
Barbados;13.1939;-59.5432;287371
Belarus;53.7098;27.9534;9449321
Belgium;50.8333;4.469936;11492641
Belgium;51.2195;4.4024;1869730
Belgium;50.8503;4.3517;1218255
Belgium;51.0362;3.7373;1525255
Belgium;50.9167;4.5833;1155843
Belgium;50.5257;4.0621;1346840
Belgium;50.4496;5.8492;1109800
Belgium;50.9739;5.342;877370
Belgium;50.0547;5.4677;286752
Belgium;50.331;4.8221;495832
Belgium;;;
Belgium;50.4;4.35;406019
Belgium;51.0536;3.1458;1200945
Belize;17.1899;-88.4976;397621
Benin;9.3077;2.3158;12123198
Bhutan;27.5142;90.4336;771612
Bolivia;-16.2902;-63.5887;11673029
Bosnia and Herzegovina;43.9159;17.6791;3280815
Botswana;-22.3285;24.6849;2351625
Brazil;-14.235;-51.9253;212559409
Brazil;-9.0238;-70.812;881935
Brazil;-9.5713;-36.782;3337357
Brazil;0.902;-52.003;845731
Brazil;-3.4168;-65.8561;4144597
Brazil;-12.5797;-41.7007;14873064
Brazil;-5.4984;-39.3206;9132078
Brazil;-15.7998;-47.8645;3015268
Brazil;-19.1834;-40.3089;4018650
Brazil;-15.827;-49.8362;7018354
Brazil;-4.9609;-45.2744;7075181
Brazil;-12.6819;-56.9211;3484466
Brazil;-20.7722;-54.7852;2778986
Brazil;-18.5122;-44.555;21168791
Brazil;-1.9981;-54.9306;8602865
Brazil;-7.24;-36.782;4018127
Brazil;-25.2521;-52.0215;11433957
Brazil;-8.8137;-36.9541;9557071
Brazil;-7.7183;-42.7289;3273227
Brazil;-22.9068;-43.1729;17264943
Brazil;-5.4026;-36.9541;3506853
Brazil;-30.0346;-51.2177;11377239
Brazil;-11.5057;-63.5806;1777225
Brazil;-2.7376;-62.0751;605761
Brazil;-27.2423;-50.2189;7164788
Brazil;-23.5505;-46.6333;45919049
Brazil;-10.5741;-37.3857;2298696
Brazil;-10.1753;-48.2982;1572866
Brazil;;;
Brunei;4.5353;114.7277;437483
Bulgaria;42.7339;25.4858;6948445
Burkina Faso;12.2383;-1.5616;20903278
Burma;21.9162;95.956;54409794
Burundi;-3.3731;29.9189;11890781
Cabo Verde;16.5388;-23.0418;555988
Cambodia;11.55;104.9167;16718971
Cameroon;3.848;11.5021;26545864
Central African Republic;6.6111;20.9394;4829764
Chad;15.4542;18.7322;16425859
Chile;-35.6751;-71.543;19116209
Chile;-23.6509;-70.3975;607534
Chile;-38.9489;-72.3311;957224
Chile;-18.594;-69.4785;226068
Chile;-27.5661;-70.0503;288944
Chile;-45.9864;-73.7669;103158
Chile;-37.4464;-72.1416;1556805
Chile;-29.959;-71.3389;757586
Chile;-41.9198;-72.1416;828708
Chile;-40.231;-72.3311;384837
Chile;-52.368;-70.9863;166533
Chile;-35.5183;-71.6885;1044950
Chile;-33.4376;-70.6505;7112808
Chile;-36.7226;-71.7622;480609
Chile;-34.5755;-71.0022;914555
Chile;-19.9232;-69.5132;330558
Chile;-33.0472;-71.6127;1815902
